file,issue_type,authoritative_source,proposed_fix,severity,owner,status
README.md,entrypoint_map;config_drift,docs/index.md; loreley/config.py; examples/circle_packing_env/README.md,Refresh top-level doc links and required environment variables for quickstarts.,medium,main,fixed
docs/index.md,doc_map_drift;config_drift,docs/loreley/**; docs/script/**; loreley/config.py,"Update the documentation map, scheduler/task references, and required configuration checklist.",high,main,fixed
docs/loreley/api.md,endpoint_inventory_drift,loreley/api/**,"Document paginated jobs, commits, and archive endpoints and normalize headings.",medium,platform,fixed
docs/loreley/config.md,config_key_drift;terminology,loreley/config.py,Align queue prefetch settings and CLI terminology with the current settings model.,medium,platform,fixed
docs/loreley/core/contracts.md,type_contract_drift,loreley/core/contracts.py,Clarify that ArtifactRef stores bounded path strings and does not enforce absolute paths.,low,core,fixed
docs/loreley/core/experiments.md,bootstrap_behavior_drift,loreley/core/experiments.py,Remove the stale ignore-hash claim and describe the actual settings fields copied at bootstrap.,medium,core,fixed
docs/loreley/core/map-elites/chunk.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/map-elites/code_embedding.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/map-elites/dimension_reduction.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/map-elites/map-elites.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/map-elites/preprocess.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/map-elites/repository_embedding.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/map-elites/sampler.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/map-elites/snapshot.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/worker/agent.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/worker/artifacts.md,persistence_flow_drift,loreley/core/worker/artifacts.py; loreley/core/worker/job_store.py,Describe write_job_artifacts() as file output only and move DB persistence details to persist_success().,medium,core,fixed
docs/loreley/core/worker/coding.md,request_shape_drift;backend_resolution,loreley/core/worker/coding.py; loreley/config.py,Update CodingAgentRequest fields and explain current backend resolution and prompt inputs.,high,core,fixed
docs/loreley/core/worker/commit_card.md,audit_only,manual_audit,No change required.,none,core,no_change
docs/loreley/core/worker/commit_summary.md,error_surface_drift;prompt_drift,loreley/core/worker/commit_summary.py,Add CommitSummaryUnavailableError and describe the current prompt inputs and retry behavior.,medium,core,fixed
docs/loreley/core/worker/evaluator.md,audit_only,manual_audit,No change required.,none,core,no_change
